date,equity,cash,gross_exposure,net_exposure,unrealized_pnl_total,realized_pnl_total,fees_paid,total_trades
2024-05-14,77808.34212480858,136164.66787134807,58356.32574653948,-58356.32574653948,-2397.3049354123214,-19502.369375020084,291.9835647593068,398
2024-05-15,76990.6742953437,134733.85326528928,57743.17896994557,-57743.17896994557,-3137.0333034950113,-19580.007850760718,292.2845504008501,400
2024-05-16,77108.67735974788,134940.20980532942,57831.53244558154,-57831.53244558154,-3018.986818393473,-19580.007850760718,292.3279710982254,402
2024-05-17,77081.17218663823,134892.05600001267,57810.88381337444,-57810.88381337444,-3043.658920907772,-19582.829251637835,292.33964081645183,404
2024-05-20,76846.22589718158,134480.95071000297,57634.7248128214,-57634.7248128214,-3255.1325488627976,-19606.215339909857,292.42621404606706,406
2024-05-21,76719.13453317106,134258.51120247412,57539.37666930306,-57539.37666930306,-3369.166423958868,-19619.226069521254,292.47297334911127,408
2024-05-22,76807.61683160164,134413.3447232504,57605.727891648756,-57605.727891648756,-3280.6516109177164,-19619.226069521254,292.50548795968695,410
2024-05-23,77147.4471282239,135008.09973035957,57860.65260213567,-57860.65260213567,-2940.696222682104,-19619.226069521254,292.63057957303033,412
2024-05-24,76682.27578824847,134194.0822792729,57511.80649102443,-57511.80649102443,-3357.7850835210766,-19667.137343267437,292.8017849633104,414
2024-05-28,76553.50043441325,133968.65596995872,57415.15553554548,-57415.15553554548,-3472.3298542683024,-19681.32047512429,292.84923619448625,416
2024-05-29,76956.7264728141,134674.35498465205,57717.62851183794,-57717.62851183794,-3068.955344551886,-19681.32047512429,292.9977075100507,418
2024-05-30,77457.15712257147,135550.1334631318,58092.976340560315,-58092.976340560315,-2568.3402766297468,-19681.32047512429,293.18212567483044,420
2024-05-31,77246.54969733956,135181.49293632974,57934.943238990185,-57934.943238990185,-2760.957009470172,-19699.23386701459,293.25942617602124,422
2024-06-03,77060.84863346702,104033.86981400955,26973.021180542528,-26973.021180542528,-1364.5528075285577,-21274.787941274422,299.8106177303533,424
2024-06-04,77008.85176791942,103961.95425688817,26953.10248896875,-26953.10248896875,-1412.7270888741132,-21278.595385732682,299.8257574741402,426
2024-06-05,76570.68342139397,134002.24767896216,57431.564257568185,-57431.564257568185,-1844.580263694715,-21278.595385732682,306.1409291789925,428
2024-06-06,76581.12121735694,134016.9642930472,57435.843075690274,-57435.843075690274,-1834.139366649822,-21278.595385732682,306.14403026094504,430
2024-06-07,76641.4259849544,134122.5075901328,57481.0816051784,-57481.0816051784,-1773.8124162956387,-21278.595385732682,306.1662130176498,432
2024-06-10,76436.45934505455,133763.84737490764,57327.38802985308,-57327.38802985308,-1966.3157226195394,-21290.983341445382,306.241590880899,434
2024-06-11,76164.21571498577,102823.40147994221,26659.185764956455,-26659.185764956455,-1032.8744283122878,-22490.16866747291,312.74118922941585,436
2024-06-12,75880.07268453714,102438.12057585845,26558.047891321316,-26558.047891321316,-1297.6249024448603,-22509.480291233605,312.8221217847777,438
2024-06-13,75781.33079802347,102304.80476870805,26523.473970684594,-26523.473970684594,-1388.9435459306083,-22516.87552152897,312.850134517347,440
2024-06-14,75704.52838689982,102201.12016324843,26496.59177634861,-26496.59177634861,-1459.3288912123544,-22523.27079013526,312.87193175295624,442
2024-06-17,75436.72234229732,101839.59614053885,26402.873798241526,-26402.873798241526,-1702.9958677481945,-22547.333983288052,312.9478066668156,444
2024-06-18,75399.08775370961,101788.7707234425,26389.682969732894,-26389.682969732894,-1737.6312007093234,-22550.32259349635,312.95845208510525,446
2024-06-20,75536.59830409294,101974.41916943567,26437.820865342732,-26437.820865342732,-1600.081640966339,-22550.32259349635,312.9974614447743,448
2024-06-21,75583.37666701223,132274.49132288227,56691.11465587004,-56691.11465587004,-1546.9421734780803,-22550.32259349635,319.3585660137178,450
2024-06-24,75998.07002985434,132996.7171631488,56998.647133294464,-56998.647133294464,-1132.0969858671217,-22550.32259349635,319.5103907825681,452
2024-06-25,75562.25539543615,132234.04563184924,56671.790236413086,-56671.790236413086,-1546.134936518536,-22571.939104140845,319.6705639048276,454
2024-06-26,75468.33545864065,132069.6073976691,56601.271939028455,-56601.271939028455,-1635.174740517787,-22576.78471919218,319.7050816497256,456
